USAF,STATION NAME,CTRY,STATE,LAT,LON
11890,LILAND,NO,,+68.483,+016.883
11910,SKJOMEN-SLETTJORD,NO,,+68.283,+017.317
11920,STRAUMSNES,NO,,+68.417,+017.650
11930,NARVIK III/FRAMNES,NO,,+68.467,+017.500
11940,NARVIK III,NO,,+68.467,+017.500
11960,TENNEVOLL,NO,,+68.750,+017.817
11961,TENEVOLL,NO,,+68.900,+017.817
11971,SAETERMOEN,NO,,+68.833,+018.233
11980,DIVIDALEN II,NO,,+68.783,+019.700
11981,BJORNFJELL,NO,,+68.433,+018.083
11990,SIHCCAJAVRI,NO,,+68.750,+023.533
12030,KRAKENES,NO,,+62.033,+004.983
12050,SVINOY LH,NO,,+62.333,+005.267
12070,FISKABYGD,NO,,+62.100,+005.583
12090,ORSTA-VOLDA/HOVDEN,NO,,+62.183,+006.067
12091,ORSTA-VOLDA/HOVD,NO,,+62.183,+006.050
12100,VIGRA,NO,,+62.560,+006.110
12120,ONA II,NO,,+62.867,+006.533
12140,REKDAL,NO,,+62.650,+006.767
12150,HJELVIK MYRBO,NO,,+62.620,+007.230
12151,HUSTAD-NERLAND,NO,,+62.983,+007.117
12160,HJELVIK I ROMSDAL,NO,,+62.617,+007.217
12161,GJERMUNDNES,NO,,+62.617,+007.167
12170,ARO,NO,,+62.745,+007.263
12180,TAFJORD,NO,,+62.233,+007.417
12200,MANNEN,NO,,+62.450,+007.767
12210,TAGDALEN,NO,,+63.050,+009.083
12211,KRISTIANSUND RADIO,NO,,+63.100,+007.733
12221,KRISTIANSUND (CITY),NO,,+63.117,+007.750
12230,KVERNBERGET,NO,,+63.112,+007.825
12240,AALESUND,NO,,+62.467,+006.217
12241,SKALMEN FYR,NO,,+63.467,+007.750
12250,VEIHOLMEN,NO,,+63.517,+007.950
12251,SMOLA-MOLDSTAD,NO,,+63.417,+008.067
12270,TINGVOLL-HANEM,NO,,+62.833,+008.300
12280,SULA,NO,,+63.850,+008.467
12291,ALVUNDFJORD,NO,,+62.833,+008.533
12300,BJORLI,NO,,+62.267,+008.200
12301,AURSJOEN,NO,,+62.400,+008.567
12310,LESJASKOG,NO,,+62.233,+008.367
12311,LESJA-NORDERHUS,NO,,+62.133,+008.717
12320,VINJEORA II,NO,,+62.450,+007.850
12330,DOMBAAS,NO,,+62.083,+009.117
12340,ORKDAL-THAMSHAMN,NO,,+63.317,+009.850
12350,DOMBAS-KIRKENAER,NO,,+62.083,+009.133
12351,DOMBAS (CITY),NO,,+62.083,+009.133
12360,KJOREMSGRENDE,NO,,+62.100,+009.050
12370,HITRA,NO,,+63.517,+009.117
12380,FOKSTUA II,NO,,+62.117,+009.283
12390,HJERKINN II,NO,,+62.217,+009.550
12400,HALTEN FYR,NO,,+64.167,+009.400
12410,ORLAND,NO,,+63.699,+009.604
12420,AFJORD,NO,,+63.967,+010.217
12430,SONGLI,NO,,+63.333,+009.650
12431,SONGLI,NO,,+63.333,+009.650
12450,OPPDAL-SETER,NO,,+62.600,+009.667
12461,MELDAL-MUAN,NO,,+63.033,+009.717
12480,VALLERSUND,NO,,+63.850,+009.733
12481,VALLERSUND,NO,,+63.850,+009.733
12500,FOLLDAL-FREDHEIM,NO,,+62.133,+010.000
12520,BERKAK-LYNGHOLT,NO,,+62.817,+010.017
12530,SOKNEDAL,NO,,+62.950,+010.183
12540,KOTSOY,NO,,+62.983,+010.550
12570,TRONDHEIM/VOLL,NO,,+63.417,+010.450
12580,TRONDHEIM (TYHOLT),NO,,+63.417,+010.433
12581,TRONDHEIM (CITY),NO,,+63.417,+010.417
12590,BUHOLMRASA LH,NO,,+64.400,+010.450
12620,NORDOYAN FYR,NO,,+64.800,+010.550
12650,TYNSET-HANSMOEN,NO,,+62.267,+010.733
12681,ALVDAL,NO,,+62.117,+010.817
12700,KVITHAMAR,NO,,+63.483,+010.883
12710,VAERNES,NO,,+63.458,+010.940
12720,FROSTA,NO,,+63.567,+010.700
12730,SELBU,NO,,+63.233,+011.017
12740,SELBU-STUBBE,NO,,+63.200,+011.117
12770,STEINKJER,NO,,+64.017,+011.450
12771,LEVANGER-EGGEN,NO,,+63.717,+011.233
12780,VERDAL-REPPE,NO,,+63.783,+011.683
12800,NAMDALSEID-VENGSTAD,NO,,+64.133,+011.333
12810,NAMSSKOGAN,NO,,+64.733,+012.850
12820,RORVIK/RYUM,NO,,+64.850,+011.233
12823,RORVIK/RYUM,NO,,+64.850,+011.233
12870,SOLENDET,NO,,+62.683,+011.817
12880,ROROS,NO,,+62.567,+011.383
12890,ROROS LUFTHAVN,NO,,+62.583,+011.350
12891,ROROS/AIRPORT,NO,,+62.583,+011.383
12900,NAMSOS AIRPORT,NO,,+64.467,+011.583
12910,GARTLAND,NO,,+64.533,+012.383
12920,MERAKER-UTSYN,NO,,+63.417,+011.700
12930,MERAKER-EGGE,NO,,+63.417,+011.733
12941,STUGUSJO-PATRUSL,NO,,+62.933,+011.850
12950,HOYLANDET,NO,,+64.550,+012.150
12951,HOYLANDET,NO,,+64.600,+012.267
12960,BERG I SNASA,NO,,+64.250,+012.417
12961,BERG,NO,,+64.250,+012.417
12980,NORDLI-HOLAND,NO,,+64.450,+013.717
13000,GULLFAKS C,NO,,+61.200,+002.267
13005,STATFJORD OIL RIG,NO,,+61.217,+001.833
13040,YTTEROYANE FYR,NO,,+61.567,+004.683
13043,VAEROY/VAERLANDET,NO,,+61.333,+004.750
